COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01019,35984,MENTONE,AL,0.013627904,0.0,0.026666667,0.013043722
01021,35115,MONTEVALLO,AL,0.055947381,0.004755435,0.039772727,0.053038756
01021,35046,CLANTON,AL,0.130596719,0.066576087,0.039772727,0.126497062
01021,35171,THORSBY,AL,0.06914177,0.03736413,0.056818182,0.067321282
01021,36790,STANTON,AL,0.005467945,0.002038043,0.011363636,0.005318753
01021,36750,MAPLESVILLE,AL,0.065337982,0.046195652,0.056818182,0.064234174
01021,36758,PLANTERSVILLE,AL,0.010777399,0.00611413,0.0,0.010451536
01021,36006,BILLINGSLEY,AL,0.009866075,0.005434783,0.022727273,0.009707655
01021,36091,VERBENA,AL,0.086100325,0.03736413,0.039772727,0.083128766
01021,35040,CALERA,AL,0.022188763,0.005434783,0.034090909,0.021349401
01021,36792,RANDOLPH,AL,0.011332118,0.004076087,0.0,0.010860671
01021,35085,JEMISON,AL,0.192051668,0.108695652,0.085227273,0.186788663
01021,36051,MARBURY,AL,0.012243442,0.002717391,0.0,0.011641747
01021,36793,LAWLEY,AL,0.005269831,0.004076087,0.011363636,0.005244365
01021,35045,CLANTON,AL,0.323599334,0.669157609,0.602272727,0.344342781
01021,35035,BRIERFIELD,AL,7.9246e-05,0.0,0.0,7.4388e-05
01023,36915,NEEDHAM,AL,0.05296028,0.013435701,0.054054054,0.050560486
01023,36916,PENNINGTON,AL,0.044216837,0.03646833,0.0,0.043554414
01023,36910,JACHIN,AL,0.005495878,0.003838772,0.0,0.005371322
01023,36904,BUTLER,AL,0.299900075,0.619961612,0.756756757,0.321345166
01023,36558,MILLRY,AL,0.016737447,0.009596929,0.0,0.016230733
01023,36922,WARD,AL,0.045715713,0.011516315,0.0,0.043437646
01023,36912,LISMAN,AL,0.145141144,0.019193858,0.027027027,0.136968706
01023,36908,GILBERTOWN,AL,0.155008743,0.140115163,0.162162162,0.154133582
01023,36913,MELVIN,AL,0.003622283,0.005758157,0.0,0.003736572
01023,36921,TOXEY,AL,0.084436672,0.049904031,0.0,0.081971042
01023,36919,SILAS,AL,0.146764926,0.090211132,0.0,0.142690332
01025,36482,WHATLEY,AL,0.046459117,0.0121673,0.0,0.04291183
01025,36524,COFFEEVILLE,AL,0.051522408,0.028136882,0.018796992,0.049086194
01025,36545,JACKSON,AL,0.364762231,0.411406844,0.439849624,0.369782662
01025,36436,DICKINSON,AL,0.021074239,0.005323194,0.003759398,0.01951099
01025,36751,LOWER PEACH TREE,AL,0.006021211,0.0,0.0,0.00543344
01025,36446,FULTON,AL,0.0,0.001520913,0.0,0.000123487
01025,36540,GAINESTOWN,AL,0.037769415,0.005323194,0.0,0.034514695
01025,36727,CAMPBELL,AL,0.006431748,0.0,0.003759398,0.005865646
01025,36451,GROVE HILL,AL,0.189257612,0.142205323,0.154135338,0.184860459
01025,36784,THOMASVILLE,AL,0.276702018,0.39391635,0.379699248,0.287910595
01027,36267,MILLERVILLE,AL,0.0,0.002538071,0.0,9.1768e-05
