RegionID,RegionName,StateName,SizeRank,zhvi_latest_date,zhvi_latest_value,zhvi_pct_change_5y,zhvi_slope_per_year_10y,temp_latest_date,market_temp_latest,market_temp_pct_change_5y,market_temp_slope_per_year_10y
394385,"Big Spring, TX",TX,770,2026-01-31,139291.1323082598,-18.735650381505142,1264.2334550071828,2026-01-31,42.0,-25.0,-0.9002151933698467
394386,"Billings, MT",MT,239,2026-01-31,392349.8313380096,40.303894677962425,20557.409073677565,2026-01-31,50.0,-39.75903614457831,-0.28247778907226656
394387,"Binghamton, NY",NY,195,2026-01-31,184968.1484704326,44.662589060997135,9326.547006482948,2026-01-31,51.0,-17.741935483870964,6.168852933168094
394388,"Birmingham, AL",AL,51,2026-01-31,251892.38920907135,25.079635302445592,13072.64156650654,2026-01-31,49.0,-33.78378378378378,0.012820499519015986
394390,"Bismarck, ND",ND,324,2026-01-31,338732.9311192911,30.0728326183076,9656.582811269149,2026-01-31,52.0,-33.333333333333336,7.0680231489183685
394391,"Blackfoot, ID",ID,623,2026-01-31,372576.493164124,37.91499557039151,26653.829927288163,2026-01-31,2.0,-98.61111111111111,-6.836739312744208
394392,"Blacksburg, VA",VA,265,2026-01-31,275368.31205782393,29.916549000410896,13686.616930632312,2026-01-31,45.0,-40.0,0.9892766096354394
394393,"Bloomington, IN",IN,270,2026-01-31,288261.9821802326,31.798859289932135,16103.034267525723,2026-01-31,22.0,-67.64705882352942,-1.8178607986463815
394395,"Bloomsburg, PA",PA,439,2026-01-31,233641.31058522855,17.171976424060276,8095.343965986028,2026-01-31,14.0,-83.9080459770115,7.521854587426365
394396,"Bluefield, WV",VA,371,2026-01-31,135600.830682639,34.031739149613635,7004.82932288265,2026-01-31,23.0,4.545454545454541,7.873017701086939
394397,"Blytheville, AR",AR,689,2026-01-31,105424.07698080332,-13.055996172366902,5196.019965680616,2026-01-31,40.0,-25.92592592592593,1.6866116768309962
394398,"Bogalusa, LA",LA,643,2026-01-31,122177.59805786346,-10.855413026879345,2016.4888821941042,2026-01-31,41.0,-36.92307692307693,0.7155927741734643
394399,"Boise City, ID",ID,79,2026-01-31,479483.9260149233,25.811970905370462,34885.63377702368,2026-01-31,67.0,-43.69747899159664,-1.526259605955554
394402,"Boone, NC",NC,577,2026-01-31,492004.5139738044,48.26649634599838,33108.0232240694,2025-12-31,7.0,-95.0,-2.6546660624715623
394403,"Borger, TX",TX,899,2026-01-31,114275.99474128442,7.791352172254573,2664.963725519191,2026-01-31,43.0,-12.244897959183676,0.5957810176592592
394404,"Boston, MA",MA,10,2026-01-31,709007.9387660343,32.501306279651,34259.47990045334,2026-01-31,73.0,-29.807692307692314,1.251831489174215
394405,"Boulder, CO",CO,156,2026-01-31,702382.3536222758,20.618130597352536,33506.404947832,2026-01-31,53.0,-47.0,-2.6650640958444316
394406,"Bowling Green, KY",KY,248,2026-01-31,258939.4763759292,36.386831499668745,14562.518110122195,2026-01-31,36.0,-41.93548387096774,-0.6073039563239582
394407,"Bozeman, MT",MT,356,2026-01-31,677863.445859158,34.373372197225294,44979.163701851554,2026-01-31,47.0,-47.19101123595506,-1.6340828873272701
394409,"Bradford, PA",PA,692,2026-01-31,100298.78361124473,8.13648946226435,2559.4142023165846,2026-01-31,57.0,-1.7241379310344862,4.271793656228218
394410,"Brainerd, MN",MN,408,2026-01-31,339221.617665095,41.30056716524737,19059.851994507364,2026-01-31,45.0,-43.0379746835443,1.55922800916713
394411,"Branson, MO",MO,561,2026-01-31,240127.8137791145,34.86853916291164,15452.024849624837,2026-01-31,29.0,-55.38461538461539,-1.0055727907126677
394412,"Bremerton, WA",WA,181,2026-01-31,565257.6455578078,22.574988253953364,32090.152345096554,2026-01-31,60.0,-50.0,-3.50640669859599
394413,"Brenham, TX",TX,759,2026-01-31,357853.059339218,24.010222048086185,17789.09688309948,2026-01-31,1.0,-98.57142857142858,-2.3197534848518147
394414,"Brevard, NC",NC,792,2026-01-31,465046.2200987111,52.07831581059374,32127.527965477406,2026-01-31,32.0,-37.254901960784316,-0.371327506960919
394415,"Bridgeport, CT",CT,60,2026-01-31,652493.2694549732,44.668583062538026,29243.587274430247,2026-01-31,78.0,-7.14285714285714,5.836991196959395
394417,"Brookhaven, MS",MS,766,2026-01-31,159442.3057288346,1.7109329646682658,4692.378625936145,2026-01-31,38.0,-26.923076923076927,0.6333346537447061
394418,"Brookings, OR",OR,880,2026-01-31,442988.67429689015,18.06490787255839,24367.783694052112,2026-01-31,24.0,-62.5,-3.352213996436619
394419,"Brookings, SD",SD,778,2026-01-31,301353.905834529,35.92398460259609,13737.955699843087,2026-01-31,43.0,-51.685393258426956,3.527412582864741
394421,"Brownsville, TX",TX,130,2026-01-31,199568.46115576164,41.53471174996737,10580.861092852236,2026-01-31,33.0,-51.470588235294116,-1.056816693126082
394422,"Brownwood, TX",TX,721,2026-01-31,174379.60119096588,20.387245369497343,8843.184662002554,2026-01-31,45.0,-36.61971830985915,-0.6409528987433397
394423,"Brunswick, GA",GA,360,2026-01-31,316777.5518233315,38.95909428442339,19430.19800315966,2026-01-31,33.0,-45.90163934426229,0.5078064205796486
394424,"Bucyrus, OH",OH,683,2026-01-31,149471.9357368733,39.30412489701946,8851.903615332696,2026-01-31,48.0,-30.434782608695656,0.8312331800468484
394425,"Buffalo, NY",NY,50,2026-01-31,268848.50601786707,42.33025696451227,15111.041233101954,2026-01-31,75.0,-53.41614906832298,1.9235343732985533
394426,"Burley, ID",ID,640,2026-01-31,323388.94339012605,49.69790806888446,22713.262129813073,2026-01-31,52.0,-41.57303370786517,-1.379764044274824
394427,"Burlington, IA",IA,649,2026-01-31,136076.13948171205,12.738321749849879,3543.9502634989144,2026-01-31,50.0,38.888888888888886,2.544703921934545
394428,"Burlington, NC",NC,260,2026-01-31,287701.1525821983,48.903382638519474,18314.151867026503,2026-01-31,44.0,-53.191489361702125,-1.572136561494065
394429,"Burlington, VT",VT,206,2026-01-31,459183.109874978,32.71702012360824,23522.81542933715,2026-01-31,59.0,-37.23404255319149,1.9248254048505824
394430,"Butte, MT",MT,764,2026-01-31,271261.938596562,62.47799996555467,19313.928325080607,2026-01-31,31.0,-62.65060240963856,-1.3950868891858752
394431,"Cadillac, MI",MI,617,2026-01-31,215575.27617356175,33.876954464673425,14687.272932913018,2026-01-31,51.0,-41.379310344827594,2.599687130028909
394432,"Calhoun, GA",GA,553,2026-01-31,269934.17376029433,53.255910020157884,18337.644978806667,2026-01-31,37.0,-60.215053763440864,-2.180092365061112
394433,"Cambridge, MD",MD,799,2026-01-31,268325.5477960287,30.84978247077059,14404.427291725711,2026-01-31,49.0,-24.615384615384617,0.20697095680883348
394434,"Cambridge, OH",OH,714,2026-01-31,153074.561524359,26.48245068022559,7253.094852752471,2026-01-31,46.0,21.052631578947366,1.6493825970042024
